join,name,ye
270735,EDEN PRAIRIE P-10,7
270760,EDEN PRAIRIE P-15,7
270855,EDINA P-01B,7
271000,GOLDEN VALLEY P-3,7
271360,MINNEAPOLIS W-1 P-01,7
271370,MINNEAPOLIS W-1 P-03,7
271415,MINNEAPOLIS W-2 P-02,7
271700,MINNEAPOLIS W-8 P-01,7
271715,MINNEAPOLIS W-8 P-04,7
271790,MINNEAPOLIS W-9 P-09,7
271845,MINNEAPOLIS W-10 P-09,7
271895,MINNEAPOLIS W-11 P-08,7
271950,MINNEAPOLIS W-12 P-10,7
272405,PLYMOUTH W-1 P-02,7
272465,PLYMOUTH W-3 P-14,7
272575,RICHFIELD W-1 P-03,7
272605,RICHFIELD W-3 P-01,7
272655,ROBBINSDALE W-2,7
272710,ROGERS P-01,7
272770,ST ANTHONY P-02,7
272815,ST LOUIS PARK W-2 P-06,7
420095,MARSHALL W-1,7
500015,AUSTIN W-1 P-1,7
550148,ROCHESTER W3 P5,7
590075,PIPESTONE PRECINCT 1,7
620180,MAPLEWOOD P-06,7
620190,MAPLEWOOD P-07,7
620365,NEW BRIGHTON P-8,7
620700,ST. PAUL W-2 P-03,7
620750,ST. PAUL W-2 P-08,7
621230,ST. PAUL W-5 P-08,7
621460,ST. PAUL W-7 P-04,7
621500,ST. PAUL W-7 P-08,7
621610,SHOREVIEW P-3,7
690190,DULUTH P-10,7
700055,JORDAN P-2,7
700093,PRIOR LAKE P-6A,7
700105,SAVAGE P-1,7
700118,SAVAGE P-9,7
700156,SHAKOPEE P-12A,7
710010,BECKER CITY,7
710060,ELK RIVER W4 P4A,7
710095,ST CLOUD W2 P6,7
710135,ELK RIVER W2 P2B,7
710140,ELK RIVER W3 P3B,7
770160,STAPLES,7
810100,WASECA W-3 P-A,7
820130,GRANT,7
820245,OAKDALE P-5,7
820255,OAKDALE P-7,7
820380,WOODBURY P-02,7
820390,WOODBURY P-04,7
820420,WOODBURY P-10,7
820445,WOODBURY P-15,7
830110,ST JAMES CITY W-2,7
860025,BUFFALO P-2,7
020020,ANDOVER P-4,6
020310,BLAINE W-1 P-2,6
020320,BLAINE W-1 P-4,6
020535,BLAINE W-3 P-7,6
020710,CIRCLE PINES P-2,6
020820,COLUMBIA HEIGHTS P-4,6
021020,COON RAPIDS W-1 P-4,6
021210,COON RAPIDS W-3 P-2,6
021310,COON RAPIDS W-4 P-2,6
021320,COON RAPIDS W-4 P-4,6
021510,EAST BETHEL P-2,6
021605,FRIDLEY W-1 P-1,6
021815,FRIDLEY W-3 P-3,6
022215,LINO LAKES P-3,6
022710,RAMSEY W-2 P-2,6
040015,BEMIDJI TWP,6
040032,BEMIDJI W-3 P-2,6
040040,BEMIDJI W-5,6
050060,RICE,6
050080,ST CLOUD W2 P3,6
050112,SAUK RAPIDS P-5,6
070040,EAGLE LAKE,6
090165,THOMSON TWP,6
100036,CHANHASSEN P-3,6
100135,WATERTOWN,6
110190,PIKE BAY TWP,6
160010,GRAND MARAIS EAST PREC 5,6
191020,APPLE VALLEY P-02,6
191080,APPLE VALLEY P-08,6
191110,APPLE VALLEY P-11,6
191150,APPLE VALLEY P-15,6
191260,BURNSVILLE P-06,6
191740,EAGAN P-04,6
191750,EAGAN P-5A,6
191830,EAGAN P-13,6
192720,INVER GROVE HTS P-02,6
192730,INVER GROVE HTS P-03,6
192760,INVER GROVE HTS P-06,6
192790,INVER GROVE HTS P-09,6
192920,LAKEVILLE P-02,6
193000,LAKEVILLE P-10,6
193050,LAKEVILLE P-15,6
193070,LAKEVILLE P-17,6
194220,ROSEMOUNT P-2,6
194270,ROSEMOUNT P-7,6
194910,WEST ST PAUL W-1 P-1,6
194940,WEST ST PAUL W-2 P-1,6
200030,DODGE CENTER P-1,6
210015,ALEXANDRIA W-3,6
240015,ALBERT LEA W-2 P-1,6
270030,BLOOMINGTON W-1 P-14,6
270350,BROOKLYN PARK W-E P-2,6
270465,CHAMPLIN W-4 P-01,6
270705,EDEN PRAIRIE P-04,6
270765,EDEN PRAIRIE P-16,6
270940,EDINA P-18,6
270990,GOLDEN VALLEY P-2,6
271115,HOPKINS P-02,6
271240,MAPLE GROVE P-11,6
271355,MEDINA P-1B,6
271395,MINNEAPOLIS W-1 P-08,6
271455,MINNEAPOLIS W-2 P-10,6
271470,MINNEAPOLIS W-3 P-03,6
271485,MINNEAPOLIS W-3 P-06,6
271500,MINNEAPOLIS W-3 P-09,6
271503,MINNEAPOLIS W-3 P-12,6
271640,MINNEAPOLIS W-6 P-08,6
271705,MINNEAPOLIS W-8 P-02,6
271720,MINNEAPOLIS W-8 P-05,6
271755,MINNEAPOLIS W-9 P-02,6
271810,MINNEAPOLIS W-10 P-02,6
271840,MINNEAPOLIS W-10 P-08,6
271865,MINNEAPOLIS W-11 P-02,6
271902,MINNEAPOLIS W-11 P-10,6
271910,MINNEAPOLIS W-12 P-02,6
272010,MINNEAPOLIS W-13 P-11,6
272090,MINNETONKA W-1 P-A,6
272260,MOUND P-3,6
272400,PLYMOUTH W-1 P-01,6
272420,PLYMOUTH W-1 P-05,6
272430,PLYMOUTH W-2 P-07,6
272440,PLYMOUTH W-2 P-09,6
272735,SHOREWOOD P-4,6
272795,ST LOUIS PARK W-1 P-02,6
272820,ST LOUIS PARK W-2 P-07,6
272835,ST LOUIS PARK W-3 P-10,6
280075,LA CRESCENT P-2,6
300037,ISANTI P-2,6
400105,NEW PRAGUE,6
420115,MARSHALL W-3,6
430070,HUTCHINSON CITY P-1,6
430075,HUTCHINSON CITY P-2,6
430080,HUTCHINSON CITY P-3,6
460050,FAIRMONT W-2 P-1,6
490120,LITTLE FALLS W-1,6
500030,AUSTIN W-2 P-1,6
520075,NORTH MANKATO P-2,6
550108,ROCHESTER W1 P7,6
550136,ROCHESTER W2 P8,6
550178,ROCHESTER W5 P4,6
560235,HENNING,6
560290,NEW YORK MILLS,6
600075,CROOKSTON W-3,6
620130,MAPLEWOOD P-01,6
